2026-08-21 19:19 | brkX2-12h | MORPHOUSDT | lolos 5/9 | belum: 3 bar bullish (3 candle terakhir close>open); RSI<60 (skrg 74.3); Stoch%K<70 (skrg 83.5)
2026-08-21 19:19 | brkX2-12h | ASTERUSDT | lolos 5/9 | belum: vol>=0.6x dan <=5.0xMA (skrg 6.78x); RSI<60 (skrg 90.7); Stoch%K<70 (skrg 83.4)
2026-08-21 19:19 | brkX2-12h | 币安人生USDT | lolos 6/9 | belum: 3 bar bullish (3 candle terakhir close>open); close>EMA50 (close 0.519700 vs EMA50 0.528493)
2026-08-21 19:19 | brkX2-12h | ZAMAUSDT | lolos 5/9 | belum: Supertrend (masih Downtrend); 3 bar bullish (3 candle terakhir close>open); Stoch%K<70 (skrg 79.3)
2026-08-21 19:19 | brkX2-12h | ROBOUSDT | lolos 6/9 | belum: 3 bar bullish (3 candle terakhir close>open); ATR%<9.0 (skrg 10.3%)
2026-08-21 19:19 | brkX2-12h | CHIPUSDT | lolos 5/9 | belum: 3 bar bullish (3 candle terakhir close>open); RSI<60 (skrg 67.8); Stoch%K<70 (skrg 83.9)
2026-08-21 19:19 | brkX2-12h | MEGAUSDT | lolos 6/9 | belum: RSI<60 (skrg 76.3); Stoch%K<70 (skrg 91.3)
2026-08-21 19:19 | brkX2-12h | MUBUSDT | lolos 7/9 | belum: 3 bar bullish (3 candle terakhir close>open)
2026-08-21 19:19 | brkX2-12h | CRCLBUSDT | lolos 6/9 | belum: RSI<60 (skrg 78.6); Stoch%K<70 (skrg 86.8)
2026-08-21 19:19 | brkX2-12h | SNDKBUSDT | lolos 6/9 | belum: 3 bar bullish (3 candle terakhir close>open); vol>=0.6x dan <=5.0xMA (skrg 0.26x)
2026-08-21 19:19 | brkX2-12h | SPCXBUSDT | lolos 5/9 | belum: close>EMA20 (close 135.4300 vs EMA20 137.7707); 3 bar bullish (3 candle terakhir close>open); vol>=0.6x dan <=5.0xMA (skrg 0.58x)
2026-08-21 19:19 | brkX2-12h | REUSDT | lolos 5/9 | belum: 3 bar bullish (3 candle terakhir close>open); vol>=0.6x dan <=5.0xMA (skrg 9.30x); RSI<60 (skrg 62.8)
2026-08-21 19:19 | brkX2-12h | MSTRBUSDT | lolos 5/9 | belum: 3 bar bullish (3 candle terakhir close>open); RSI<60 (skrg 76.8); Stoch%K<70 (skrg 87.1)
2026-08-21 19:19 | brkX2-12h | SKHYBUSDT | lolos 7/9 | belum: Supertrend (masih Downtrend)
2026-08-21 19:19 | brkX2-12h | KORUBUSDT | lolos 7/9 | belum: Supertrend (masih Downtrend)
2026-08-21 19:19 | Reversal-8h | ONEUSDT | lolos 2/5 | belum: 3 merah+turun>=5% (1/3 merah, turun 1.7%); doji<0.2body & <EMA20/50 (body 0.62)
2026-08-21 19:19 | Reversal-8h | NILUSDT | lolos 2/5 | belum: 3 merah+turun>=5% (2/3 merah, turun -3.8%); doji<0.2body & <EMA20/50 (body 0.29)
2026-08-21 19:19 | Reversal-8h | TREEUSDT | lolos 2/5 | belum: doji<0.2body & <EMA20/50 (body 0.25); cross-up EMA20 (belum)
2026-08-21 19:19 | Reversal-8h | CFGUSDT | lolos 2/5 | belum: 3 merah+turun>=5% (2/3 merah, turun -0.6%); cross-up EMA20 (belum)
